"Prvi pristop","Ime","Visna","Gorovje","Drzava"
"1909","Mount Aspiring / Tititea","3033","Southern Alps","Nova Zelandija"
"1910","Denali N","5935","Alaska Range","Zdruzene drzave Amerike"
"1910","Stetind","1394","Scandinavian Mts","Norveska"
"1911","Mitre Peak","1692","osamelec","Nova Zelandija"
"1911","Pauhunri","7128","Himalayas","Indija"
"1911","Coropuna","6425","Andes","Peru"
"1911","Wagagai","4321","Mount Elgon","Uganda"
"1912","Mount Blackburn","4996","Wrangell Mts","Zdruzene drzave Amerike"
"1912","Mount Sir Sandford","3519","Columbia Mts","Kanada"
"1912","Mawenzi (Meyer Peak)","5148","Kilimanjaro","Tanzanija"
"1912","Mount Bangeta","4121","Saruwaged Range","Papuanska Nova Gvineja"
"1913","Puncak Trikora","4750","Maoke Mountains","Poljska"
"1913","Denali S","6168","Alaska Range","Zdruzene drzave Amerike"
"1913","Mount Robson","3954","Canadian Rockies","Kanada"
"1913","Mount Olympus","2918","osamelec","Grcija"
"1914","Belukha","4506","Altai Mountains","Kazahstan"
"1916","Mount Louis","2682","Canadian Rockies","Kanada"
"1916","Crestone Peak","4357","Rocky Mountains","Zdruzene drzave Amerike"
"1916","Bugaboo Spire","3204","Columbia Mts","Kanada"
"1919","Huayna Potosí","6066","Andes","Bolivija"
"1919","Janq'u Uma","6427","Andes","Bolivija"
"1920","Mount Cleveland","3194","Rocky Mountains","Zdruzene drzave Amerike"
"1920","Lizard Head","3999","Rocky Mountains","Zdruzene drzave Amerike"
"1922","Mount Moran","3842","Rocky Mountains","Zdruzene drzave Amerike"
"1922","Gannett Peak","4209","Rocky Mountains","Zdruzene drzave Amerike"
"1923","Jbel Toubkal","4167","Atlas Mountains","Maroko"
"1923","Granite Peak","3904","Rocky Mountains","Zdruzene drzave Amerike"
"1925","Mount Logan","5959","Saint Elias Mts","Kanada"
"1925","Mount Alberta","3619","Canadian Rockies","Kanada"
"1926","Mount Russell","4296","Sierra Nevada (U.S.)","Zdruzene drzave Amerike"
"1927","Mikeno","4437","Virunga Mountains","Demokraticna Republika Kongo"
"1928","Illampu","6368","Andes","Bolivija"
"1928","Clyde Minaret","3740","Sierra Nevada (U.S.)","Zdruzene drzave Amerike"
"1928","Lenin Peak","7134","Pamir Mountains","Kirzigistan"
"1930","Jongsong Peak","7462","Himalayas","Indija"
